Month,Date,Day,Sales
July,7/31/20,Thursday,5604.62
August,8/1/20,Friday,3920.47
August,8/2/20,Saturday,4592.29
August,8/3/20,Sunday,9101.75
August,8/4/20,Monday,10468.40
August,8/5/20,Tuesday,14614.34
August,8/6/20,Wednesday,6258.03
August,8/7/20,Thursday,11646.38
August,8/8/20,Friday,3262.46
August,8/9/20,Saturday,3050.79
August,8/10/20,Sunday,4518.67
August,8/11/20,Monday,3009.38
August,8/12/20,Tuesday,10394.77
August,8/13/20,Wednesday,1182.58
August,8/14/20,Thursday,4247.18
August,8/15/20,Friday,3179.63
August,8/16/20,Saturday,3313.07
August,8/17/20,Sunday,3423.51
August,8/18/20,Monday,7164.52
August,8/19/20,Tuesday,5121.46
August,8/20/20,Wednesday,5530.99
August,8/21/20,Thursday,2659.66
August,8/22/20,Friday,5475.78
August,8/23/20,Saturday,6920.65
August,8/24/20,Sunday,7017.28
August,8/25/20,Monday,13137.26
August,8/26/20,Tuesday,10367.16
August,8/27/20,Wednesday,2282.34
August,8/28/20,Thursday,6745.79
August,8/29/20,Friday,3943.48
August,8/30/20,Saturday,1859.00
August,8/31/20,Sunday,2742.49
September,9/1/20,Monday,7422.21
September,9/2/20,Tuesday,3658.19
September,9/3/20,Wednesday,3073.80
September,9/4/20,Thursday,2309.95
September,9/5/20,Friday,2572.23
September,9/6/20,Saturday,9727.56
September,9/7/20,Sunday,6018.75
September,9/8/20,Monday,5784.08
September,9/9/20,Tuesday,7785.73
September,9/10/20,Wednesday,4118.34
September,9/11/20,Thursday,8144.64
September,9/12/20,Friday,3994.10
September,9/13/20,Saturday,7008.07
September,9/14/20,Sunday,5080.05
September,9/15/20,Monday,6166.00
September,9/16/20,Tuesday,6534.12
September,9/17/20,Wednesday,1182.58
September,9/18/20,Thursday,2908.14
September,9/19/20,Friday,5342.33
September,9/20/20,Saturday,5190.48
September,9/21/20,Sunday,5646.03
September,9/22/20,Monday,9216.79
September,9/23/20,Tuesday,6833.22
September,9/24/20,Wednesday,2627.45
September,9/25/20,Thursday,2618.25
September,9/26/20,Friday,4201.16
September,9/27/20,Saturday,1868.21
September,9/28/20,Sunday,2576.84
September,9/29/20,Monday,1270.01
September,9/30/20,Tuesday,5070.85
October,10/1/20,Wednesday,2829.92
October,10/2/20,Thursday,3184.23
October,10/3/20,Friday,4606.09
October,10/4/20,Saturday,6676.77
October,10/5/20,Sunday,4316.20
October,10/6/20,Monday,5517.19
October,10/7/20,Tuesday,8365.51
October,10/8/20,Wednesday,6690.57
October,10/9/20,Thursday,4242.58
October,10/10/20,Friday,13850.49
October,10/11/20,Saturday,7109.31
October,10/12/20,Sunday,11784.42
October,10/13/20,Monday,8075.62
October,10/14/20,Tuesday,8982.11
October,10/15/20,Wednesday,1739.36
October,10/16/20,Thursday,6327.05
October,10/17/20,Friday,4877.58
October,10/18/20,Saturday,2710.28
October,10/19/20,Sunday,6672.16
October,10/20/20,Monday,3561.56
October,10/21/20,Tuesday,7477.43
October,10/22/20,Wednesday,2990.97
October,10/23/20,Thursday,3349.89
October,10/24/20,Friday,1808.39
October,10/25/20,Saturday,3023.18
October,10/26/20,Sunday,0.00
October,10/27/20,Monday,14641.95
October,10/28/20,Tuesday,10813.51
October,10/29/20,Wednesday,3409.71
October,10/30/20,Thursday,7077.10
October,10/31/20,Friday,8862.48
November,11/1/20,Saturday,2512.42
November,11/2/20,Sunday,10279.74
November,11/3/20,Monday,4491.06
November,11/4/20,Tuesday,10578.83
November,11/5/20,Wednesday,12897.98
November,11/6/20,Thursday,10528.22
November,11/7/20,Friday,9801.18
November,11/8/20,Saturday,11641.78
November,11/9/20,Sunday,9474.47
November,11/10/20,Monday,15497.83
November,11/11/20,Tuesday,8664.61
November,11/12/20,Wednesday,4265.58
November,11/13/20,Thursday,12704.72
November,11/14/20,Friday,12083.52
November,11/15/20,Saturday,19165.22
November,11/16/20,Sunday,11448.51
November,11/17/20,Monday,12649.50
November,11/18/20,Tuesday,20798.75
November,11/19/20,Wednesday,10767.49
November,11/20/20,Thursday,21769.66
November,11/21/20,Friday,25892.60
November,11/22/20,Saturday,21493.57
November,11/23/20,Sunday,23624.07
November,11/24/20,Monday,0.00
November,11/25/20,Tuesday,12672.51
November,11/26/20,Wednesday,5646.03
November,11/27/20,Thursday,11793.63
November,11/28/20,Friday,6230.42
November,11/29/20,Saturday,9515.89
November,11/30/20,Sunday,3483.33
December,12/1/20,Monday,55484.80
December,12/2/20,Tuesday,12097.33
December,12/3/20,Wednesday,2291.54
December,12/4/20,Thursday,4716.53
December,12/5/20,Friday,4836.17
December,12/6/20,Saturday,3175.03
December,12/7/20,Sunday,1679.54
December,12/8/20,Monday,5139.87
December,12/9/20,Tuesday,9939.22
December,12/10/20,Wednesday,2190.31
December,12/11/20,Thursday,4063.12
December,12/12/20,Friday,1569.11
December,12/13/20,Saturday,2162.70
December,12/14/20,Sunday,5866.90
December,12/15/20,Monday,6934.45
December,12/16/20,Tuesday,8241.27
December,12/17/20,Wednesday,1794.58
December,12/18/20,Thursday,5646.03
December,12/19/20,Friday,4164.35
December,12/20/20,Saturday,3653.59
December,12/21/20,Sunday,4670.52
December,12/22/20,Monday,7141.52
December,12/23/20,Tuesday,5549.40
December,12/24/20,Wednesday,2190.31
December,12/25/20,Thursday,2839.12
December,12/26/20,Friday,5314.72
December,12/27/20,Saturday,10735.28
December,12/28/20,Sunday,5503.39
December,12/29/20,Monday,9635.53
December,12/30/20,Tuesday,14996.27
December,12/31/20,Wednesday,7095.50
January,1/1/21,Thursday,4119.39
January,1/2/21,Friday,5710.97
January,1/3/21,Saturday,2194.28
January,1/4/21,Sunday,2498.55
January,1/5/21,Monday,6752.52
January,1/6/21,Tuesday,4610.90
January,1/7/21,Wednesday,7764.81
January,1/8/21,Thursday,1070.81
January,1/9/21,Friday,4277.37
January,1/10/21,Saturday,4119.39
January,1/11/21,Sunday,6249.30
January,1/12/21,Monday,6196.63
January,1/13/21,Tuesday,7864.28
January,1/14/21,Wednesday,11714.50
January,1/15/21,Thursday,1457.00
January,1/16/21,Friday,4973.69
January,1/17/21,Saturday,1293.16
January,1/18/21,Sunday,4534.84
January,1/19/21,Monday,4961.99
January,1/20/21,Tuesday,5827.99
January,1/21/21,Wednesday,12750.20
January,1/22/21,Thursday,5500.32
January,1/23/21,Friday,2820.37
January,1/24/21,Saturday,1860.75
January,1/25/21,Sunday,6050.35
January,1/26/21,Monday,7080.19
January,1/27/21,Tuesday,11831.53
January,1/28/21,Wednesday,5705.12
January,1/29/21,Thursday,3522.54
January,1/30/21,Friday,6530.16
January,1/31/21,Saturday,3557.65
February,2/1/21,Sunday,6781.77
February,2/2/21,Monday,5295.52
February,2/3/21,Tuesday,8197.81
February,2/4/21,Wednesday,9403.20
February,2/5/21,Thursday,3270.93
February,2/6/21,Friday,5757.78
February,2/7/21,Saturday,8689.33
February,2/8/21,Sunday,24014.15
February,2/9/21,Monday,6225.89
February,2/10/21,Tuesday,7624.37
February,2/11/21,Wednesday,16565.31
February,2/12/21,Thursday,2422.48
February,2/13/21,Friday,7794.06
February,2/14/21,Saturday,6132.27
February,2/15/21,Sunday,11895.90
February,2/16/21,Monday,7167.97
